HLA_Class,HLA_FourDigits
ClassII,DPA1_0105-DPB1_0202
ClassII,DPA1_0105-DPB1_0301
ClassII,DPA1_0105-DPB1_0401
ClassII,DPA1_0105-DPB1_0402
ClassII,DPA1_0105-DPB1_0501
ClassII,DPA1_0105-DPB1_0601
ClassII,DPA1_0105-DPB1_0801
ClassII,DPA1_0105-DPB1_0901
ClassII,DPA1_0105-DPB1_1001
ClassII,DPA1_0105-DPB1_1101
ClassII,DPA1_0105-DPB1_1301
ClassII,DPA1_0105-DPB1_1401
ClassII,DPA1_0105-DPB1_1501
ClassII,DPA1_0105-DPB1_1601
ClassII,DPA1_0105-DPB1_1701
ClassII,DPA1_0105-DPB1_1801
ClassII,DPA1_0105-DPB1_1901
ClassII,DPA1_0105-DPB1_2001
ClassII,DPA1_0105-DPB1_2101
ClassII,DPA1_0105-DPB1_2201
ClassII,DPA1_0105-DPB1_2301
ClassII,DPA1_0105-DPB1_2401
ClassII,DPA1_0105-DPB1_2501
ClassII,DPA1_0105-DPB1_2601
ClassII,DPA1_0105-DPB1_2701
ClassII,DPA1_0105-DPB1_2801
ClassII,DPA1_0105-DPB1_2901
ClassII,DPA1_0105-DPB1_3001
ClassII,DPA1_0105-DPB1_3101
ClassII,DPA1_0105-DPB1_3201
ClassII,DPA1_0105-DPB1_3301
ClassII,DPA1_0105-DPB1_3401
ClassII,DPA1_0105-DPB1_3501
ClassII,DPA1_0105-DPB1_3601
ClassII,DPA1_0105-DPB1_3701
ClassII,DPA1_0105-DPB1_3801
ClassII,DPA1_0105-DPB1_3901
ClassII,DPA1_0105-DPB1_4001
ClassII,DPA1_0105-DPB1_4101
ClassII,DPA1_0105-DPB1_4401
ClassII,DPA1_0105-DPB1_4501
ClassII,DPA1_0105-DPB1_4601
ClassII,DPA1_0105-DPB1_4701
ClassII,DPA1_0105-DPB1_4801
ClassII,DPA1_0105-DPB1_4901
ClassII,DPA1_0105-DPB1_5001
ClassII,DPA1_0105-DPB1_5101
ClassII,DPA1_0105-DPB1_5201
ClassII,DPA1_0105-DPB1_5301
ClassII,DPA1_0105-DPB1_5401
ClassII,DPA1_0105-DPB1_5501
ClassII,DPA1_0105-DPB1_5601
ClassII,DPA1_0105-DPB1_5801
ClassII,DPA1_0105-DPB1_5901
ClassII,DPA1_0105-DPB1_6001
ClassII,DPA1_0105-DPB1_6201
ClassII,DPA1_0105-DPB1_6301
ClassII,DPA1_0105-DPB1_6501
ClassII,DPA1_0105-DPB1_6601
ClassII,DPA1_0105-DPB1_6701
ClassII,DPA1_0105-DPB1_6801
